epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6575479507446289,0.6790204048156738,0.6985858678817749,0.5596617460250854
1,0.7545926570892334,0.5016763806343079,0.7486868500709534,0.6271684169769287
2,0.8022164702415466,0.4252750873565674,0.8004040122032166,0.43005305528640747
3,0.8411042094230652,0.359007328748703,0.7789899110794067,0.5227630734443665
4,0.8690595030784607,0.3024301826953888,0.7939394116401672,0.48630163073539734
5,0.8854832053184509,0.27528682351112366,0.8048484921455383,0.44343963265419006
6,0.902306318283081,0.23589946329593658,0.8214141130447388,0.43480420112609863
7,0.9100439548492432,0.22144734859466553,0.8254545331001282,0.4389689862728119
8,0.9317092895507812,0.174857497215271,0.8056565523147583,0.5379826426506042
9,0.9270666837692261,0.1892920732498169,0.8113131523132324,0.4726114571094513
10,0.9395467042922974,0.15725404024124146,0.8278787732124329,0.5074385404586792
11,0.9405451416969299,0.15242329239845276,0.8149495124816895,0.5107883810997009
12,0.9432907104492188,0.15131635963916779,0.8214141130447388,0.4908662438392639
0,0.8323183059692383,0.3942796289920807,0.7991918921470642,0.4346170723438263
1,0.8541833162307739,0.3320525884628296,0.6169697046279907,0.8668641448020935
2,0.8711062073707581,0.2955531179904938,0.8101010322570801,0.46734198927879333
3,0.9038038849830627,0.23646801710128784,0.7814141511917114,0.5533056855201721
4,0.9075978398323059,0.22516180574893951,0.7761616110801697,0.5917276740074158
5,0.9234724640846252,0.1939837485551834,0.8109090924263,0.5062267780303955
6,0.9353035092353821,0.16858243942260742,0.8137373924255371,0.5178707838058472
7,0.9418430328369141,0.15164603292942047,0.7616161704063416,0.6821889281272888
8,0.9410942196846008,0.15101346373558044,0.808080792427063,0.491644024848938
9,0.9429413080215454,0.1462698131799698,0.8133333325386047,0.5613377690315247
10,0.9476338028907776,0.13710086047649384,0.8258585929870605,0.49915018677711487
0,0.8119009733200073,0.4284403622150421,0.6953535079956055,0.7237351536750793
1,0.8550319671630859,0.33090513944625854,0.7640404105186462,0.5649775862693787
2,0.873252809047699,0.29858335852622986,0.7995959520339966,0.4410557150840759
3,0.8989616632461548,0.24588660895824432,0.7684848308563232,0.585569441318512
