Test Loss,Test Accuracy,Seed,Pool
0.47423428297042847,0.7764000296592712,5000,15025
0.47423428297042847,0.7764000296592712,5200,14825
0.47423428297042847,0.7764000296592712,5400,14625
0.4742342233657837,0.7764000296592712,5600,14425
0.3963954448699951,0.8288000226020813,5800,14225
0.3963955044746399,0.8288000226020813,6000,14025
0.4128921926021576,0.8259999752044678,6200,13825
0.4128921926021576,0.8259999752044678,6400,13625
0.41129282116889954,0.8256000280380249,6600,13425
0.40823066234588623,0.8375999927520752,6800,13225
0.40823066234588623,0.8375999927520752,7000,13025
0.388823002576828,0.8424000144004822,7200,12825
0.3888230621814728,0.8424000144004822,7400,12625
0.3888230323791504,0.8424000144004822,7600,12425
0.37636083364486694,0.8564000129699707,7800,12225
0.37636080384254456,0.8564000129699707,8000,12025
0.3574122190475464,0.8623999953269958,8200,11825
0.34296226501464844,0.857200026512146,8400,11625
0.34296226501464844,0.857200026512146,8600,11425
0.3433820903301239,0.8615999817848206,8800,11225
0.33225733041763306,0.8619999885559082,9000,11025
0.3322572708129883,0.8619999885559082,9200,10825
0.33225733041763306,0.8619999885559082,9400,10625
0.33225730061531067,0.8619999885559082,9600,10425
0.33133387565612793,0.8628000020980835,9800,10225
0.323658287525177,0.8640000224113464,10000,10025
0.32084405422210693,0.8744000196456909,10200,9825
0.30190545320510864,0.8700000047683716,10400,9625
0.31466883420944214,0.8763999938964844,10600,9425
0.3131958246231079,0.8823999762535095,10800,9225
