epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6475139856338501,0.691440999507904,0.7317171692848206,0.527151346206665
1,0.7300319671630859,0.5338524580001831,0.7337373495101929,0.5206834673881531
2,0.7691693305969238,0.48306789994239807,0.5321212410926819,0.9052261710166931
3,0.7936801314353943,0.44479477405548096,0.7830303311347961,0.45031774044036865
4,0.8065595030784607,0.42200297117233276,0.837979793548584,0.3672574758529663
