epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6434205174446106,0.6889232397079468,0.6509090662002563,0.6597573161125183
1,0.7263378500938416,0.5399886965751648,0.6682828068733215,0.5959782600402832
2,0.7589356899261475,0.49030619859695435,0.7620202302932739,0.4933789074420929
3,0.784744381904602,0.45631739497184753,0.7503030300140381,0.49726611375808716
4,0.806010365486145,0.4278557002544403,0.73575758934021,0.7020690441131592
5,0.814197301864624,0.4043888449668884,0.8383838534355164,0.3606543242931366
6,0.8273262977600098,0.38374075293540955,0.8319191932678223,0.36943960189819336
7,0.8441493511199951,0.35938653349876404,0.8347474932670593,0.36163514852523804
8,0.8453474640846252,0.34818172454833984,0.8351514935493469,0.3671882748603821
9,0.8473442196846008,0.35031017661094666,0.8428282737731934,0.3621363639831543
10,0.8591253757476807,0.32744300365448,0.8545454740524292,0.3358294367790222
11,0.8637180328369141,0.3171386122703552,0.8432323336601257,0.3643327057361603
12,0.8692591786384583,0.30817723274230957,0.6917171478271484,0.6632623076438904
13,0.8744009733200073,0.29568028450012207,0.8650504946708679,0.32428988814353943
14,0.8753494620323181,0.295369952917099,0.8626262545585632,0.3164598047733307
15,0.875848650932312,0.29004716873168945,0.8509091138839722,0.3556534945964813
16,0.8859325051307678,0.2733195424079895,0.8694949746131897,0.29729166626930237
17,0.8866313695907593,0.27164000272750854,0.8610100746154785,0.3400008976459503
18,0.8920227885246277,0.2592189311981201,0.8549494743347168,0.3301866948604584
19,0.8972144722938538,0.24796931445598602,0.8569697141647339,0.34291258454322815
20,0.8943690061569214,0.2551133334636688,0.8743434548377991,0.2872525155544281
21,0.8930211663246155,0.2516899108886719,0.8783838152885437,0.28853070735931396
22,0.9038538336753845,0.2360994666814804,0.875959575176239,0.2941613793373108
23,0.9070487022399902,0.23146313428878784,0.8860605955123901,0.28144416213035583
24,0.8986621499061584,0.24275632202625275,0.8537373542785645,0.37548020482063293
25,0.9061002135276794,0.23213078081607819,0.8787878751754761,0.3203469216823578
26,0.9011082053184509,0.24235853552818298,0.8783838152885437,0.2912430167198181
27,0.9074480533599854,0.22596944868564606,0.8779798150062561,0.30338266491889954
28,0.9087460041046143,0.22517122328281403,0.8694949746131897,0.3163703978061676
29,0.9122903347015381,0.2151496559381485,0.8634343147277832,0.3507375121116638
30,0.9202276468276978,0.20179744064807892,0.8682828545570374,0.34133994579315186
31,0.9058007001876831,0.23036397993564606,0.8662626147270203,0.31420308351516724
32,0.9197284579277039,0.19617626070976257,0.8727272748947144,0.32426953315734863
33,0.9174820184707642,0.20459459722042084,0.8537373542785645,0.37933987379074097
